A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1
463,676,788,567,718,826,601,468,an,653,370,235,86
449,881,327,329,349,634,1697,875,634,155,327,196,181
331,255,271,66,191,184,193,296,250,221,280,361,501
260,133,161,6,WW,167,bo],14,120,39,51,59,32
21,341,189,47,a,180,330,152,323,8,205,212,645
224,192,185,247,310,ural,104,104,156,158,110,113,82
212,134,145,114,193,128,392,219,541,90,571,96,136
208,155,243,108,177,206,181,232,217,155,178,167,163
204,220,223,226,251,257,213,273,302,317,299,343,114
199,39,146,71,115,90,107,112,PAS,So,104,=>,Â»
144,Ef,114,150,133,125,154,136,151,1,152,136,89
